Station,Elevation,Date,TMin,TMax,Snow,Snow Depth,Cloudiness Percent
"BOONTON 1 SE, NJ US",85.3,2026-01-01,22.0,32.0,0.5,1.0,
"BOONTON 1 SE, NJ US",85.3,2026-01-02,15.0,25.0,0.0,1.0,
"BOONTON 1 SE, NJ US",85.3,2026-01-03,20.0,28.0,0.0,0.0,
"BOONTON 1 SE, NJ US",85.3,2026-01-04,19.0,28.0,0.0,0.0,
"BOONTON 1 SE, NJ US",85.3,2026-01-05,20.0,32.0,0.0,0.0,
"BOONTON 1 SE, NJ US",85.3,2026-01-06,21.0,32.0,0.0,0.0,
"BOONTON 1 SE, NJ US",85.3,2026-01-07,30.0,40.0,0.0,0.0,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-01,19.0,31.0,1.0,,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-02,11.0,23.0,0.0,,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-03,14.0,26.0,0.0,,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-04,15.0,28.0,0.0,,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-05,17.0,31.0,0.0,,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-06,20.0,33.0,0.0,,
"SCHOOLEY S MOUNTAIN 1 SW, NJ US",301.1,2026-01-07,29.0,41.0,0.0,,
